Designator,Mid X,Mid Y,Rotation,Layer
C1,92.5,-87.25,0.0,top
C10,108.5,-94.75,270.0,top
C11,99.5,-90.95,180.0,top
C12,85.5,-111.25,90.0,top
C13,123.5,-90.25,270.0,top
C14,123.5,-92.75,270.0,top
C15,85.0,-104.75,270.0,top
C16,99.0,-108.475,270.0,top
C17,82.1,-96.5,270.0,top
C18,80.1,-96.75,90.0,top
C19,133.0,-99.25,180.0,top
C2,104.5,-101.75,90.0,top
C20,98.5,-97.25,270.0,top
C21,93.1,-96.75,270.0,top
C22,112.5,-71.25,90.0,top
C23,93.1,-91.25,270.0,top
C24,82.2,-68.25,90.0,top
C25,109.5,-57.75,270.0,top
C26,109.5,-79.25,270.0,top
C27,145.5,-67.25,270.0,top
C28,104.5,-90.75,0.0,top
C3,131.0,-64.25,0.0,top
C4,130.5,-73.75,0.0,top
C5,125.5,-71.25,270.0,top
C6,150.0,-73.25,0.0,top
C7,150.0,-71.75,0.0,top
C8,94.0,-57.75,270.0,top
C9,143.575,-75.175,180.0,top
D1,131.28,-108.725,0.0,top
D10,106.0,-98.75,180.0,top
D2,126.78,-108.725,0.0,top
D3,133.2125,-79.75,0.0,top
D4,117.525,-108.725,0.0,top
D5,87.85,-85.25,0.0,top
D6,87.85,-82.25,0.0,top
D7,111.5,-91.25,270.0,top
D8,98.5,-100.75,90.0,top
D9,101.0,-100.75,90.0,top
J1,143.0,-58.25,180.0,top
J2,133.39,-116.25,270.0,top
J3,83.46,-116.25,90.0,top
J4,94.23,-116.25,270.0,top
J5,86.005,-57.75,270.0,top
J7,104.0,-116.25,270.0,top
R1,87.85,-87.25,0.0,top
R10,93.1,-99.25,270.0,top
R11,103.0,-102.25,90.0,top
R12,106.0,-101.25,90.0,top
R13,107.5,-102.25,90.0,top
R14,133.6025,-81.24,0.0,top
R15,91.195,-57.94,270.0,top
R16,102.0,-94.25,180.0,top
R17,79.1,-96.75,270.0,top
R18,81.1,-96.75,270.0,top
R19,98.0,-69.75,90.0,top
R2,91.35,-84.25,90.0,top
R20,98.0,-57.25,270.0,top
R21,98.0,-67.25,270.0,top
R22,98.0,-60.75,90.0,top
R23,98.0,-64.75,270.0,top
R24,109.5,-84.25,270.0,top
R25,109.5,-81.75,90.0,top
R26,98.0,-81.75,270.0,top
R27,98.0,-78.75,270.0,top
R28,122.0,-110.25,180.0,top
R29,132.0,-98.25,0.0,top
R3,141.5,-64.25,270.0,top
R30,101.0,-95.75,0.0,top
R31,98.0,-95.75,0.0,top
R32,100.0,-94.25,180.0,top
R4,144.5,-64.25,90.0,top
R5,134.28,-110.725,180.0,top
R6,132.28,-110.725,180.0,top
R7,148.0,-75.25,180.0,top
R8,93.5,-84.26,90.0,top
R9,96.0,-87.25,0.0,top
SW1,141.5,-72.75,0.0,top
SW2,132.0,-102.75,270.0,top
U1,117.995,-67.75,180.0,top
U10,143.0,-67.25,90.0,top
U12,87.695,-67.75,180.0,top
U2,118.005,-97.75,0.0,top
U3,90.995,-107.75,180.0,top
U4,87.605,-94.75,0.0,top
U5,105.5,-93.75,180.0,top
U6,103.81,-66.44,0.0,top
U7,104.005,-82.75,0.0,top
U8,150.5,-90.155,270.0,top
U9,131.0,-69.25,0.0,top
